"Timestamp","I have ..... [Started a fire alone.]","I have ..... [Played with a lighter.]","I have ..... [Started an extremely large fire.]","I have ..... [Tried to hide a fire that I started.]","I have ..... [Attempted to conceal a fire.]","I have ..... [Used fire as part of a ritual or practice.]","I have ..... [Started a large fire.]","I have ..... [Cooked with fire.]","I have ..... [Been in legal or criminal trouble because of a fire.]","I have ..... [Used fire to burn my own belongings.]","I have ..... [Started a small fire.]","I have ..... [Accidently started a fire in the house.]","I have ..... [Lit fireworks.]","I have ..... [Received fire safety training.]","I have ..... [Used fire to manipulate or control someone.]","I have ..... [Used fire to get attention.]","I have ..... [Set a fire to get revenge.]","I have ..... [Used fire as a weapon.]","I have ..... [Used a fire torch.]","I have ..... [Seen a house, apartment, or building on fire.]","I have ..... [Used fire to destroy or conceal evidence of a crime.]","I have ..... [Seen a fire get out of control.]","I have ..... [Started a fire intentionally.]","I have ..... [Started a fire accidently.]","I have ..... [Started a fire with friends.]","I have ..... [Been in trouble because of fire.]","I have ..... [Used an accelerant such as gasoline or lighter fluid to start a fire.]","I have ..... [Hurt myself with fire.]","I have ..... [Used a charcoal BBQ.]","I have ..... [Burned toys or stuffed animals/toys.]","I have ..... [Burned garbage.]","I have ..... [Burned leaves and/or brush.]","I have ..... [Smoked cigarettes.]","I have ..... [Used fire to burn someone else's belongings.]","I have ..... [Used fire as a cry for help.]","I have ..... [Smoked marijuana (weed) or other drugs.]","I have ..... [Burned items on a BBQ that weren't food.]","I have ..... [Worked with Fire.]","I have ..... [Worked as a welder.]","I have ..... [Owned a Zippo brand lighter.]","I have ..... [Worked in a kitchen.]","I have ..... [Smoked while under the legal age.]","I have ..... [Started an average size fire.]","I have ..... [Tried to start a fire with a magnifying glass.]","I have ..... [Had to evacuate because of a fire.]","I have ..... [Had a fire get out of control.]","I have ..... [Started a camp fire.]","I have ..... [Thrown or placed dangerous items into a fire.]","I have ..... [Used a gas BBQ.]","I have ..... [Hurt someone else with fire.]","I have ..... [Played with matches.]","I have ..... [Lied about a fire I started.]"
"2024/08/29 8:06:56 PM AST","NO","YES","NO","YES","YES","NO","NO","YES","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","YES","NO","YES","NO","YES","YES"
"2024/08/30 12:21:14 AM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","YES","YES","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO"
"2024/08/30 4:37:37 AM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","YES","YES","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","YES","NO","YES","NO","NO","NO","YES","NO","YES","NO","YES","NO"
"2024/09/01 5:19:31 PM AST","YES","YES","NO","YES","YES","NO","NO","YES","NO","NO","YES","YES","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","YES","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO"
"2024/09/01 6:16:15 PM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","YES","NO","YES","NO","YES","YES","NO","NO","NO","YES","NO","YES","NO","YES","YES","NO","NO","NO","NO","NO","YES","NO","YES","NO","YES","NO"
"2024/09/01 6:28:46 PM AST","YES","YES","NO","NO","NO","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","YES","YES","NO","NO","YES","NO","YES","NO","YES","NO","NO","YES","YES","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","YES","YES","NO","YES","NO","YES","NO","YES","NO"
"2024/09/01 7:37:14 PM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO","YES","NO","NO","YES","NO","NO","YES","YES","NO","YES","NO","YES","NO","YES","NO"
"2024/09/01 8:01:56 PM AST","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO"
"2024/09/02 4:46:48 AM AST","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","YES","YES","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO"
"2024/09/02 6:57:04 AM AST","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO"
"2024/09/02 8:24:04 AM AST","YES","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","YES","NO","YES","NO","YES","NO","NO","NO","YES","NO","NO","YES","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO"
"2024/09/02 8:43:51 AM AST","YES","YES","NO","NO","NO","YES","YES","YES","NO","YES","YES","NO","YES","YES","NO","NO","NO","NO","YES","YES","NO","NO","YES","NO","YES","NO","YES","YES","YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","YES","YES","YES","NO","NO","NO","YES","NO","YES","NO","YES","NO"
"2024/09/02 10:14:26 AM AST","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO"
"2024/09/02 2:19:20 PM AST","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO"
"2024/09/03 10:40:17 AM AST","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"2024/09/03 11:27:29 AM AST","YES","YES","NO","NO","YES","NO","NO","YES","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","YES","YES","NO","YES","NO","YES","YES","YES","YES","NO","YES","YES","NO","NO","NO","YES","NO","NO","YES","YES","YES","YES","NO","YES","NO","YES","NO","YES","NO","YES","NO"
"2024/09/03 11:28:54 AM AST","YES","YES","NO","NO","NO","NO","YES","YES","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","NO","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","NO","NO","NO","YES","NO","NO","YES","YES","YES","YES","NO","YES","NO","YES","YES","YES","NO","YES","NO"
"2024/09/03 7:39:56 PM AST","YES","YES","NO","YES","YES","NO","YES","YES","NO","NO","YES","YES","YES","YES","NO","NO","NO","NO","NO","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","YES","NO","NO","YES","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES"
"2024/09/03 9:28:41 PM AST","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO"
"2024/09/04 3:56:01 AM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","YES","NO","YES","NO","NO","NO","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","YES","NO","YES","NO"
"2024/09/04 12:31:36 PM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","YES","NO","YES","YES","YES","NO","YES","NO","YES","NO"
"2024/09/04 5:10:02 PM AST","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","YES","YES","NO","YES","NO","NO","NO","YES","NO"
"2024/09/05 7:52:26 AM AST","NO","YES","NO","NO","NO","YES","NO","YES","NO","YES","YES","NO","YES","YES","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","YES","NO","YES","NO","YES","NO","YES","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"2024/09/05 8:08:57 AM AST","YES","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","YES","YES","NO","NO","YES","NO","YES","NO","NO","NO"
"2024/09/05 8:23:22 AM AST","NO","YES","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO"
"2024/09/05 10:14:19 AM AST","YES","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","YES","NO","YES","NO"
"2024/09/05 1:16:50 PM AST","NO","YES","NO","NO","NO","YES","NO","NO","NO","YES","NO","YES","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"2024/09/06 6:42:57 AM AST","YES","YES","YES","NO","NO","NO","YES","YES","NO","YES","YES","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","YES","YES","NO","YES","NO","YES","YES","YES","NO","NO","YES","YES","NO","NO","YES","YES","NO","NO","YES","NO","NO","YES","YES","NO","NO","YES","YES","YES","NO","YES","NO"
"2024/09/06 10:31:03 AM AST","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO"
"2024/09/06 1:08:08 PM AST","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"2024/09/06 6:57:13 PM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","NO","YES","NO","YES","NO","NO","YES","YES","YES","NO","YES","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO"
"2024/09/07 6:42:12 AM AST","YES","YES","NO","YES","NO","YES","NO","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","YES","NO","YES","YES","NO","YES","YES","NO","YES","YES","YES","YES","NO","YES","YES","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","YES","NO","NO","NO","YES","NO","YES","YES","YES"
"2024/09/07 8:40:19 AM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","NO","YES","NO","YES","NO","YES","NO","YES","NO"
"2024/09/07 11:13:30 AM AST","NO","YES","NO","NO","NO","NO","YES","YES","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","YES","YES","NO","NO","YES","NO","YES","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","YES","NO","NO","YES","NO","NO","YES","YES","YES","NO","YES","NO","YES","NO","YES","NO"
"2024/09/08 11:42:41 AM AST","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO"
"2024/09/08 5:07:45 PM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO"
"2024/09/08 8:35:05 PM AST","NO","YES","NO","NO","NO","NO","YES","YES","NO","NO","YES","NO","YES","YES","NO","NO","NO","NO","YES","YES","YES","YES","YES","NO","YES","NO","YES","YES","YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","YES","YES","YES","YES","YES","NO","NO","YES","YES","NO","YES","NO","YES","NO"
"2024/09/09 2:25:12 PM AST","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO"
"2024/09/09 4:30:42 PM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","YES","NO"
"2024/09/09 4:35:06 PM AST","YES","YES","NO","NO","NO","NO","YES","YES","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","YES","YES","YES","NO","YES","YES","YES","NO","NO","YES","YES","YES","NO","YES","YES","NO","YES","YES","NO","NO","YES","YES","YES","NO","YES","NO"
"2024/09/09 4:38:48 PM AST","YES","YES","NO","NO","NO","NO","YES","YES","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","YES","YES","YES","NO","YES","YES","YES","NO","NO","YES","YES","YES","NO","YES","YES","NO","YES","YES","NO","NO","YES","YES","YES","NO","YES","NO"
"2024/09/10 5:59:37 AM AST","YES","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","YES","YES","YES","NO","NO","NO","NO","NO","NO"
"2024/09/10 6:11:25 PM AST","YES","YES","NO","NO","NO","YES","NO","YES","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","NO","YES","NO","YES","NO","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","YES","YES","NO","YES","YES","YES","NO","YES","NO","NO","NO"
"2024/09/10 8:00:56 PM AST","NO","YES","NO","NO","YES","NO","NO","YES","NO","NO","YES","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","YES","NO","NO","YES","YES","NO","NO","YES","YES","NO","NO","YES","YES","YES","NO","YES","NO","NO","YES","YES","NO","NO","YES","NO"
"2024/09/11 12:31:10 PM AST","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"2024/09/11 4:59:16 PM AST","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","YES","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","YES","NO","YES","NO","NO","NO"
"2024/09/12 2:08:20 AM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","YES","NO","NO","YES","NO","YES","NO","NO","NO","YES","YES","YES","NO","NO","YES","NO","YES","NO","YES","NO"
"2024/09/12 4:24:13 AM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","YES","YES","NO","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO","YES","NO"
