"Timestamp","I have ..... [Started a fire alone.]","I have ..... [Played with a lighter.]","I have ..... [Started an extremely large fire.]","I have ..... [Tried to hide a fire that I started.]","I have ..... [Attempted to conceal a fire.]","I have ..... [Used fire as part of a ritual or practice.]","I have ..... [Started a large fire.]","I have ..... [Cooked with fire.]","I have ..... [Been in legal or criminal trouble because of a fire.]","I have ..... [Used fire to burn my own belongings.]","I have ..... [Started a small fire.]","I have ..... [Accidently started a fire in the house.]","I have ..... [Lit fireworks.]","I have ..... [Received fire safety training.]","I have ..... [Used fire to manipulate or control someone.]","I have ..... [Used fire to get attention.]","I have ..... [Set a fire to get revenge.]","I have ..... [Used fire as a weapon.]","I have ..... [Used a fire torch.]","I have ..... [Seen a house, apartment, or building on fire.]","I have ..... [Used fire to destroy or conceal evidence of a crime.]","I have ..... [Seen a fire get out of control.]","I have ..... [Started a fire intentionally.]","I have ..... [Started a fire accidently.]","I have ..... [Started a fire with friends.]","I have ..... [Been in trouble because of fire.]","I have ..... [Used an accelerant such as gasoline or lighter fluid to start a fire.]","I have ..... [Hurt myself with fire.]","I have ..... [Used a charcoal BBQ.]","I have ..... [Burned toys or stuffed animals/toys.]","I have ..... [Burned garbage.]","I have ..... [Burned leaves and/or brush.]","I have ..... [Smoked cigarettes.]","I have ..... [Used fire to burn someone else's belongings.]","I have ..... [Used fire as a cry for help.]","I have ..... [Smoked marijuana (weed) or other drugs.]","I have ..... [Burned items on a BBQ that weren't food.]","I have ..... [Worked with Fire.]","I have ..... [Worked as a welder.]","I have ..... [Owned a Zippo brand lighter.]","I have ..... [Worked in a kitchen.]","I have ..... [Smoked while under the legal age.]","I have ..... [Started an average size fire.]","I have ..... [Tried to start a fire with a magnifying glass.]","I have ..... [Had to evacuate because of a fire.]","I have ..... [Had a fire get out of control.]","I have ..... [Started a camp fire.]","I have ..... [Thrown or placed dangerous items into a fire.]","I have ..... [Used a gas BBQ.]","I have ..... [Hurt someone else with fire.]","I have ..... [Played with matches.]","I have ..... [Lied about a fire I started.]"
"2024/09/12 8:41:59 AM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO"
"2024/09/12 7:32:00 PM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO","YES","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","YES","YES","NO","YES","NO","YES","NO","YES","NO"
"2024/09/12 9:26:08 PM AST","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO"
"2024/09/12 11:38:05 PM AST","NO","YES","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO"
"2024/09/12 11:39:41 PM AST","NO","YES","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO"
"2024/09/13 3:13:48 PM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO"
"2024/09/14 12:57:17 AM AST","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO"
"2024/09/14 12:31:14 PM AST","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","YES","YES","YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","YES","NO","YES","NO"
"2024/09/15 11:49:56 AM AST","YES","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","YES","YES","NO","YES","YES","YES","NO","YES","NO","YES","NO","YES","NO"
"2024/09/16 11:41:10 AM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","YES","NO","NO","NO","NO","NO","YES","NO","YES","YES","NO","NO","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","YES","YES","YES","NO","NO","NO","YES","YES","NO","YES","NO","YES","NO","YES","NO"
"2024/09/16 10:01:42 PM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"2024/09/17 2:43:45 AM AST","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"2024/09/17 7:59:51 AM AST","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"2024/09/17 1:45:40 PM AST","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO"
"2024/09/17 4:45:09 PM AST","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO"
"2024/09/18 5:21:54 AM AST","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO"
"2024/09/19 12:39:28 AM AST","YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO"
"2024/09/19 9:32:01 AM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","YES","YES","YES","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO"
"2024/09/19 10:47:15 AM AST","YES","YES","NO","NO","YES","NO","NO","YES","NO","NO","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","YES","NO","YES","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","YES","NO","YES","NO"
"2024/09/19 12:37:21 PM AST","YES","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO"
"2024/09/19 2:40:46 PM AST","YES","YES","YES","YES","YES","YES","YES","YES","NO","NO","YES","NO","YES","YES","NO","NO","NO","NO","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","YES","NO","YES","YES","YES","NO","NO","YES","YES","YES","YES","YES","NO","YES","YES","YES","YES","NO","YES","NO"
"2024/09/19 2:51:11 PM AST","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO"
"2024/09/19 2:52:43 PM AST","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO"
"2024/09/19 10:35:56 PM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","YES","NO","YES","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","YES","YES","YES","NO","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","YES","NO","YES","NO","NO","NO","NO","YES","NO"
"2024/09/20 4:37:39 AM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","YES","NO","NO","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO"
"2024/09/20 8:33:41 AM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","YES","NO","YES","YES","YES","NO","NO","NO","NO","NO","NO","YES","YES","NO","YES","NO","YES","YES","NO","NO","YES","NO","YES","NO","YES","NO"
"2024/09/20 8:48:56 PM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","YES","YES","NO","YES","NO","NO","YES","NO","YES","NO","YES","NO"
"2024/09/20 8:50:06 PM AST","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"2024/09/21 7:33:10 AM AST","NO","YES","YES","YES","NO","YES","YES","YES","YES","NO","NO","NO","NO","YES","YES","NO","YES","NO","YES","YES","YES","NO","YES","NO","NO","YES","NO","YES","NO","YES","YES","NO","NO","NO","YES","NO","YES","YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","YES","YES"
"2024/09/21 11:12:06 AM AST","YES","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","YES","NO","NO","YES","NO"
"2024/09/21 1:03:12 PM AST","NO","YES","NO","YES","NO","NO","NO","YES","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","YES","NO","NO","YES","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","YES","NO","NO","NO","YES","NO","NO","YES","NO"
"2024/09/22 9:24:16 AM AST","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO","YES","NO","YES","NO","NO","NO"
"2024/09/22 11:27:19 AM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO"
"2024/09/22 11:28:07 AM AST","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"2024/09/22 7:41:09 PM AST","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","YES"
"2024/09/23 5:24:52 AM AST","YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","YES","NO","NO","NO","YES","NO","YES","NO","YES","NO","YES","NO"
"2024/09/24 6:15:53 PM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO"
"2024/09/25 12:16:30 PM AST","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"2024/09/25 1:36:34 PM AST","NO","YES","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","YES","YES","YES","YES","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","YES","NO","YES","YES","NO","NO","YES","NO","YES","NO"
"2024/09/25 4:48:29 PM AST","YES","YES","NO","YES","NO","NO","YES","YES","NO","YES","YES","YES","NO","YES","NO","NO","NO","NO","YES","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","NO","NO","YES","NO"
"2024/09/26 5:55:18 AM AST","YES","YES","YES","NO","NO","NO","YES","YES","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","YES","YES","NO","YES","YES","NO","NO","NO","YES","NO","NO","NO","YES","YES","YES","YES","NO","NO","NO","NO","YES","NO","NO","YES","NO"
"2024/09/26 5:58:09 AM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO"
"2024/09/26 6:20:02 AM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO"
"2024/09/26 2:13:20 PM AST","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","YES","YES","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","YES","NO","YES","NO","NO","NO"
"2024/09/27 3:07:10 AM AST","YES","YES","NO","NO","YES","NO","YES","YES","NO","NO","YES","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","YES","YES","NO","NO","NO","NO","YES","NO","YES","YES","NO","NO","YES","NO","NO","YES","NO","NO","YES","NO","YES","YES","YES","NO","YES","NO","YES","NO","YES","NO"
"2024/09/27 10:33:46 AM AST","YES","YES","NO","NO","YES","NO","NO","YES","YES","NO","NO","NO","YES","YES","NO","NO","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","NO","NO","YES","NO","YES","YES","YES","NO","NO","YES","YES","NO","YES","NO","YES","YES","NO","YES","NO","YES","NO","YES","YES","YES","NO","NO"
"2024/09/27 11:38:22 AM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO"
"2024/09/29 9:04:41 AM AST","YES","YES","NO","YES","YES","NO","NO","YES","NO","NO","YES","YES","NO","YES","NO","NO","NO","NO","NO","YES","NO","YES","YES","YES","NO","NO","YES","YES","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","YES","YES","YES","NO","YES","NO","NO","YES","NO"
"2024/09/30 1:31:42 AM AST","NO","YES","NO","NO","NO","YES","NO","YES","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO"
"2024/09/30 5:32:36 AM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"2024/09/30 2:55:27 PM AST","NO","YES","NO","NO","NO","NO","YES","YES","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","YES","NO","NO","YES","NO","YES","NO","YES","NO"
"2024/09/30 3:00:15 PM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","YES","NO","YES","NO"
"2024/09/30 11:53:48 PM AST","NO","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","YES","YES","NO","NO","YES","NO","YES","NO","YES","NO"
"2024/10/01 2:50:57 AM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO"
"2024/10/01 6:34:38 AM AST","YES","YES","NO","NO","NO","YES","NO","YES","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","YES","YES","NO","NO","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","NO","YES","NO","YES","YES","NO","NO","YES","NO","YES","NO","YES","NO"
"2024/10/01 7:56:47 AM AST","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO"
"2024/10/01 8:37:14 PM AST","YES","YES","YES","YES","NO","NO","YES","YES","NO","YES","YES","NO","YES","YES","NO","NO","NO","NO","YES","NO","NO","YES","YES","YES","YES","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","YES","NO","NO","YES","NO","YES","NO","YES","NO"
