"Timestamp","I have ..... [Started a fire alone.]","I have ..... [Played with a lighter.]","I have ..... [Started an extremely large fire.]","I have ..... [Tried to hide a fire that I started.]","I have ..... [Attempted to conceal a fire.]","I have ..... [Used fire as part of a ritual or practice.]","I have ..... [Started a large fire.]","I have ..... [Cooked with fire.]","I have ..... [Been in legal or criminal trouble because of a fire.]","I have ..... [Used fire to burn my own belongings.]","I have ..... [Started a small fire.]","I have ..... [Accidently started a fire in the house.]","I have ..... [Lit fireworks.]","I have ..... [Received fire safety training.]","I have ..... [Used fire to manipulate or control someone.]","I have ..... [Used fire to get attention.]","I have ..... [Set a fire to get revenge.]","I have ..... [Used fire as a weapon.]","I have ..... [Used a fire torch.]","I have ..... [Seen a house, apartment, or building on fire.]","I have ..... [Used fire to destroy or conceal evidence of a crime.]","I have ..... [Seen a fire get out of control.]","I have ..... [Started a fire intentionally.]","I have ..... [Started a fire accidently.]","I have ..... [Started a fire with friends.]","I have ..... [Been in trouble because of fire.]","I have ..... [Used an accelerant such as gasoline or lighter fluid to start a fire.]","I have ..... [Hurt myself with fire.]","I have ..... [Used a charcoal BBQ.]","I have ..... [Burned toys or stuffed animals/toys.]","I have ..... [Burned garbage.]","I have ..... [Burned leaves and/or brush.]","I have ..... [Smoked cigarettes.]","I have ..... [Used fire to burn someone else's belongings.]","I have ..... [Used fire as a cry for help.]","I have ..... [Smoked marijuana (weed) or other drugs.]","I have ..... [Burned items on a BBQ that weren't food.]","I have ..... [Worked with Fire.]","I have ..... [Worked as a welder.]","I have ..... [Owned a Zippo brand lighter.]","I have ..... [Worked in a kitchen.]","I have ..... [Smoked while under the legal age.]","I have ..... [Started an average size fire.]","I have ..... [Tried to start a fire with a magnifying glass.]","I have ..... [Had to evacuate because of a fire.]","I have ..... [Had a fire get out of control.]","I have ..... [Started a camp fire.]","I have ..... [Thrown or placed dangerous items into a fire.]","I have ..... [Used a gas BBQ.]","I have ..... [Hurt someone else with fire.]","I have ..... [Played with matches.]","I have ..... [Lied about a fire I started.]"
"2024/10/01 10:12:18 PM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","YES","YES","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO"
"2024/10/02 7:38:46 AM AST","YES","YES","NO","YES","NO","YES","NO","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","YES","YES","YES","NO","NO","NO","YES","YES","NO","YES","YES","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO"
"2024/10/02 3:44:28 PM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","YES","YES","NO","YES","YES","NO","NO","NO","NO","YES","YES","NO","YES","YES","NO","YES","NO","NO","YES","NO","NO","YES","YES","NO","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","NO","YES","NO","YES","NO","NO","NO","YES","NO"
"2024/10/02 3:46:12 PM AST","YES","YES","NO","NO","NO","NO","NO","YES","NO","YES","YES","NO","YES","YES","NO","NO","NO","NO","YES","YES","NO","YES","YES","NO","YES","NO","NO","YES","NO","NO","YES","YES","NO","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","YES","YES","NO","YES","NO","NO","NO","YES","NO"
"2024/10/02 11:58:47 PM AST","NO","YES","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","YES","YES","NO","YES","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","YES","NO","YES","NO","YES","NO"
"2024/10/03 2:28:41 PM AST","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","YES","NO","YES","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO"
"2024/10/04 10:36:21 AM AST","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO"
"2024/10/04 5:22:26 PM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO"
"2024/10/05 10:24:12 PM AST","YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","YES","NO","YES","NO","NO","NO"
"2024/10/06 12:48:22 PM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO"
"2024/10/07 12:41:14 PM AST","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","YES","NO"
"2024/10/07 7:31:44 PM AST","YES","NO","NO","NO","YES","NO","NO","YES","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO"
"2024/10/08 2:39:59 PM AST","YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","NO","NO","YES","YES","NO","YES","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO"
"2024/10/08 3:46:23 PM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO"
"2024/10/08 3:47:27 PM AST","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"2024/10/08 3:55:05 PM AST","YES","YES","YES","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","YES","YES","NO","NO","NO","YES","YES","YES","NO","YES","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","YES","NO","YES","YES","NO","YES","NO","YES","NO"
"2024/10/08 4:33:30 PM AST","YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO"
"2024/10/08 10:14:34 PM AST","YES","YES","NO","NO","NO","YES","NO","YES","NO","NO","YES","NO","YES","YES","NO","NO","NO","NO","NO","YES","NO","YES","YES","YES","YES","NO","NO","YES","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","YES","NO","YES","NO"
"2024/10/09 12:34:17 AM AST","YES","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","YES","NO","NO","NO","NO","YES","NO","NO","NO","YES","YES","YES","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO"
"2024/10/09 12:35:58 AM AST","YES","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","YES","YES","YES","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","YES","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO"
"2024/10/09 1:39:54 AM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","YES","YES","YES","NO","YES","NO"
"2024/10/09 9:25:31 AM AST","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO"
"2024/10/11 3:26:39 AM AST","NO","YES","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","YES","NO","NO","NO","NO","NO","YES","NO","YES","NO"
"2024/10/11 3:28:29 AM AST","NO","YES","NO","NO","NO","YES","NO","YES","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","YES","NO","YES","NO"
"2024/10/11 9:05:12 AM AST","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","YES","NO","NO","NO","YES","YES","YES","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO"
"2024/10/11 12:45:46 PM AST","YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","YES","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","YES","YES","YES","YES","NO","YES","YES","YES","NO"
"2024/10/11 12:54:32 PM AST","YES","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO"
"2024/10/11 4:11:18 PM AST","YES","YES","NO","YES","YES","YES","NO","YES","NO","YES","YES","NO","YES","YES","NO","NO","NO","NO","YES","NO","NO","YES","YES","YES","NO","NO","YES","YES","NO","NO","NO","YES","YES","NO","NO","YES","NO","YES","NO","YES","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","YES"
"2024/10/12 6:05:56 PM AST","YES","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","YES","YES","NO","YES","NO","YES","YES","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","YES","YES","NO","YES","YES","YES","YES","NO","YES","NO","YES","NO"
"2024/10/12 7:19:03 PM AST","YES","YES","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO"
"2024/10/12 7:26:06 PM AST","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO"
"2024/10/14 9:07:40 AM AST","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO"
"2024/10/14 4:04:52 PM AST","YES","NO","NO","NO","NO","YES","NO","YES","NO","NO","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO","YES","NO","NO","NO"
"2024/10/14 8:05:43 PM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","YES","NO","YES","NO","NO","NO"
"2024/10/14 8:12:27 PM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO"
"2024/10/15 9:48:05 AM AST","YES","YES","NO","NO","YES","NO","NO","YES","NO","NO","YES","NO","YES","YES","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","YES","NO","YES","NO","YES","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","YES","YES","YES","YES","NO","YES","NO","YES","NO","YES","NO","NO","NO"
"2024/10/15 10:07:15 AM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","YES","NO","NO","NO","YES","NO","NO","YES","YES","NO","NO","YES","NO","NO","NO","YES","YES","YES","YES","YES","YES","NO","YES","NO","YES","NO","YES","NO"
"2024/10/15 5:33:43 PM AST","NO","YES","NO","NO","NO","YES","NO","YES","NO","NO","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO"
"2024/10/16 12:59:29 AM AST","YES","YES","NO","YES","NO","YES","NO","YES","NO","YES","YES","NO","YES","YES","NO","YES","NO","NO","NO","YES","NO","YES","YES","YES","YES","NO","YES","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","YES","YES","NO","YES","NO","YES","NO","NO","NO","YES","YES","YES","YES","YES","NO"
"2024/10/16 1:01:42 AM AST","NO","YES","YES","NO","YES","NO","YES","NO","NO","YES","NO","NO","YES","YES","YES","NO","NO","NO","NO","YES","NO","NO","YES","YES","YES","NO","YES","YES","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","YES","NO","YES","NO","NO","YES","YES","YES","NO","YES","NO","NO"
"2024/10/16 3:06:55 AM AST","YES","YES","NO","NO","YES","NO","NO","YES","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","YES","YES","NO","NO","YES","NO","YES","NO","YES","NO"
"2024/10/16 11:37:58 AM AST","YES","NO","YES","YES","NO","NO","NO","YES","YES","YES","NO","NO","YES","NO","YES","YES","NO","YES","NO","NO","NO","YES","NO","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES","YES","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","NO","YES"
"2024/10/17 12:26:57 AM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","YES","NO","NO","NO","YES","NO","YES","NO","NO","NO"
"2024/10/17 12:57:41 AM AST","YES","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","YES","NO","YES","NO","NO","YES","YES","NO","YES","YES","YES","YES","NO","YES","YES","YES","NO","YES","YES","YES","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","YES","NO","YES","YES","YES","NO","YES","NO"
"2024/10/17 9:37:12 AM AST","YES","YES","NO","YES","NO","NO","NO","YES","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","YES","YES","YES","NO","YES","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","YES","YES","NO","NO","YES","NO"
"2024/10/17 10:04:26 AM AST","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","YES","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO"
"2024/10/17 11:04:12 AM AST","YES","YES","NO","NO","YES","NO","NO","YES","NO","NO","YES","NO","YES","YES","NO","NO","NO","YES","YES","YES","NO","YES","YES","NO","YES","NO","YES","YES","YES","NO","YES","YES","NO","NO","NO","NO","YES","YES","NO","NO","YES","NO","YES","YES","NO","NO","NO","NO","NO","YES","YES","NO"
"2024/10/17 12:27:04 PM AST","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","YES","NO","YES","NO","NO","NO","NO","YES","NO","YES","NO","NO","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO"
"2024/10/17 12:38:23 PM AST","YES","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","NO","YES","YES","NO","YES","YES","NO","NO","YES","NO","NO","NO","NO","YES","NO","YES","NO"
"2024/10/17 7:23:17 PM AST","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO"
"2024/10/18 11:28:30 AM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","YES","NO","YES","NO"
"2024/10/18 9:45:38 PM AST","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","YES","YES","NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO","YES","NO","YES","NO","NO","NO"
"2024/10/19 10:32:00 AM AST","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"2024/10/19 11:33:11 AM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO"
"2024/10/19 11:36:27 AM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO"
"2024/10/19 11:36:50 AM AST","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","YES","NO"
"2024/10/19 1:39:46 PM AST","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","YES","NO","NO","YES","NO","NO","NO","YES","NO"
"2024/10/19 3:05:53 PM AST","YES","YES","NO","YES","YES","NO","YES","YES","YES","YES","NO","NO","YES","NO","NO","YES","YES","NO","NO","NO","YES","YES","YES","YES","NO","NO","YES","YES","NO","NO","YES","NO","NO","YES","YES","NO","YES","NO","YES","YES","NO","YES","YES","YES","YES","YES","YES","NO","NO","YES","NO","NO"